TimeStep	J_x_ref	J_y_ref	J_z_ref	Jconv_x_ref	Jconv_y_ref	Jconv_z_ref	Jcond_x_ref	Jcond_y_ref	Jcond_z_ref
96	109.721	-6.42606E-08	2.70659E-08	139.681	1.02949E-06	1.9193E-06	-29.9597	-1.09375E-06	-1.89224E-06
97	113.774	1.18068E-08	2.87017E-07	143.668	1.03886E-06	2.04767E-06	-29.8946	-1.02705E-06	-1.76065E-06
98	117.784	8.75102E-08	5.68466E-07	147.391	1.03942E-06	2.17649E-06	-29.6074	-9.51911E-07	-1.60803E-06
99	121.742	1.61353E-07	8.70201E-07	150.845	1.03132E-06	2.30527E-06	-29.1022	-8.69965E-07	-1.43507E-06
100	125.638	2.31795E-07	1.19062E-06	154.025	1.01481E-06	2.43348E-06	-28.3866	-7.83016E-07	-1.24286E-06
101	129.459	2.97308E-07	1.52767E-06	156.931	9.90292E-07	2.56058E-06	-27.472	-6.92984E-07	-1.03291E-06
102	133.19	3.564E-07	1.87895E-06	159.563	9.58256E-07	2.68606E-06	-26.3733	-6.01856E-07	-8.07106E-07
103	136.815	4.07705E-07	2.24162E-06	161.924	9.19302E-07	2.80935E-06	-25.1086	-5.11597E-07	-5.67726E-07
104	140.319	4.49988E-07	2.61252E-06	164.018	8.74105E-07	2.92992E-06	-23.6987	-4.24117E-07	-3.17406E-07
105	143.684	4.82252E-07	2.98808E-06	165.85	8.23411E-07	3.04721E-06	-22.1667	-3.41159E-07	-5.91267E-08
106	146.891	5.03694E-07	3.36454E-06	167.428	7.67998E-07	3.16066E-06	-20.5377	-2.64304E-07	2.03881E-07
107	149.923	5.13819E-07	3.73786E-06	168.76	7.08683E-07	3.2697E-06	-18.8376	-1.94863E-07	4.68166E-07
108	152.762	5.12428E-07	4.1039E-06	169.855	6.46286E-07	3.37377E-06	-17.093	-1.33857E-07	7.30135E-07
109	155.392	4.99603E-07	4.45847E-06	170.722	5.81612E-07	3.4723E-06	-15.3304	-8.20096E-08	9.86162E-07
110	157.798	4.75799E-07	4.79738E-06	171.373	5.15462E-07	3.56475E-06	-13.5755	-3.9663E-08	1.23262E-06
111	159.967	4.41738E-07	5.11661E-06	171.819	4.48587E-07	3.65057E-06	-11.8522	-6.84919E-09	1.46604E-06
112	161.888	3.98462E-07	5.41238E-06	172.07	3.81711E-07	3.72923E-06	-10.1827	1.67516E-08	1.68314E-06
113	163.553	3.47271E-07	5.68119E-06	172.139	3.15508E-07	3.80024E-06	-8.58644	3.17632E-08	1.88096E-06
114	164.958	2.89699E-07	0.00000592	172.038	2.50606E-07	3.86312E-06	-7.07987	3.90928E-08	2.05689E-06
115	166.101	2.27478E-07	6.12623E-06	171.777	1.87594E-07	3.91744E-06	-5.67615	3.98841E-08	2.20879E-06
116	166.984	1.62452E-07	6.29786E-06	171.369	1.27006E-07	3.96282E-06	-4.38497	3.5446E-08	2.33504E-06
117	167.613	9.6541E-08	6.43347E-06	170.825	6.93398E-08	3.99892E-06	-3.21255	2.72012E-08	2.43455E-06
118	167.995	3.16928E-08	6.53231E-06	170.157	1.50591E-08	4.02547E-06	-2.16176	1.66337E-08	2.50684E-06
119	168.143	-3.01957E-08	6.59425E-06	169.376	-3.5409E-08	4.04224E-06	-1.23241	5.21327E-09	2.55201E-06
120	168.071	-8.73214E-08	6.61987E-06	168.493	-8.16657E-08	4.04909E-06	-0.421584	-5.65569E-09	2.57078E-06
121	167.794	-1.3804E-07	6.61035E-06	167.518	-1.23344E-07	4.04593E-06	0.275822	-1.46964E-08	2.56442E-06
122	167.329	-1.80876E-07	6.56751E-06	166.463	-1.60095E-07	4.03277E-06	0.866608	-2.07804E-08	2.53474E-06
123	166.695	-2.14556E-07	6.49372E-06	165.337	-1.91597E-07	4.00965E-06	1.35869	-2.2959E-08	2.48407E-06
124	165.909	-2.38091E-07	6.39183E-06	164.149	-2.17563E-07	3.97673E-06	1.76056	-2.05282E-08	2.4151E-06
125	164.989	-2.50698E-07	6.26512E-06	162.908	-2.37727E-07	3.93423E-06	2.08078	-1.29712E-08	2.3309E-06
126	163.951	-2.51858E-07	6.11717E-06	161.623	-2.51849E-07	3.88242E-06	2.32755	-9.07126E-12	2.23474E-06
127	162.808	-2.41276E-07	5.95178E-06	160.3	-2.5972E-07	3.82169E-06	2.50844	1.84437E-08	2.13009E-06
128	161.574	-2.1889E-07	5.77288E-06	158.944	-2.61155E-07	3.75248E-06	2.63016	4.22643E-08	2.0204E-06
129	160.258	-1.84847E-07	5.5844E-06	157.56	-2.56006E-07	3.67531E-06	2.69855	7.11593E-08	1.90909E-06
130	158.87	-1.39458E-07	5.39017E-06	156.151	-2.44144E-07	3.59076E-06	2.71864	1.04686E-07	1.79942E-06
131	157.415	-8.31943E-08	5.19387E-06	154.72	-2.25462E-07	3.49949E-06	2.69492	1.42268E-07	1.69438E-06
132	155.897	-1.6646E-08	4.99884E-06	153.265	-1.99879E-07	3.40222E-06	2.63161	1.83233E-07	1.59662E-06
133	154.319	5.95065E-08	4.80814E-06	151.786	-1.67316E-07	3.29973E-06	2.53309	2.26823E-07	1.50841E-06
134	152.685	1.44478E-07	4.62438E-06	150.281	-1.27721E-07	3.19284E-06	2.40433	2.72198E-07	1.43154E-06
135	150.996	2.37468E-07	4.4497E-06	148.745	-8.10318E-08	3.0824E-06	2.25137	3.185E-07	1.3673E-06
136	149.255	3.37585E-07	4.28577E-06	147.174	-2.72061E-08	2.96931E-06	2.08169	3.64791E-07	1.31646E-06
137	147.466	4.43965E-07	4.13374E-06	145.561	3.38119E-08	2.85445E-06	1.90461	4.10153E-07	1.27929E-06
138	145.633	5.55694E-07	3.99424E-06	143.901	1.02068E-07	2.73873E-06	1.73152	4.53626E-07	1.25551E-06
139	143.762	6.71867E-07	3.86742E-06	142.186	1.77608E-07	2.62301E-06	1.576	4.94259E-07	1.24441E-06
140	141.863	7.91582E-07	3.75294E-06	140.409	2.60477E-07	2.50814E-06	1.45381	5.31106E-07	1.24481E-06
141	139.945	9.13954E-07	3.65003E-06	138.563	3.50704E-07	2.39491E-06	1.38269	5.6325E-07	1.25513E-06
142	138.022	1.03812E-06	3.55752E-06	136.64	4.48311E-07	2.28404E-06	1.3821	5.89811E-07	1.27348E-06
143	136.107	1.16327E-06	3.4739E-06	134.635	5.53299E-07	2.17619E-06	1.47271	6.09967E-07	1.29771E-06
144	134.216	1.2886E-06	3.39738E-06	132.54	6.65636E-07	2.07193E-06	1.67584	6.2296E-07	1.32545E-06
145	132.364	1.41341E-06	3.32598E-06	130.351	7.85265E-07	1.97174E-06	2.01281	6.28145E-07	1.35424E-06
146	130.567	1.53708E-06	3.25753E-06	128.062	9.12091E-07	0.000001876	2.5042	6.24991E-07	1.38153E-06
147	128.84	1.65908E-06	3.18983E-06	125.671	1.04597E-06	1.78499E-06	3.16909	6.13108E-07	1.40483E-06
148	127.199	1.77898E-06	3.12064E-06	123.175	1.18673E-06	1.69891E-06	4.02436	5.92251E-07	1.42173E-06
149	125.654	1.89652E-06	3.0478E-06	120.57	1.33413E-06	1.61784E-06	5.08396	5.6239E-07	1.42996E-06
150	124.215	2.01155E-06	2.96927E-06	117.856	1.48789E-06	1.54179E-06	6.35832	5.23658E-07	1.42748E-06
151	122.887	2.12411E-06	2.88322E-06	115.033	1.64769E-06	1.47071E-06	7.8538	4.76423E-07	1.41251E-06
152	121.674	2.23441E-06	2.78806E-06	112.101	1.81315E-06	1.40445E-06	9.57232	4.21256E-07	1.3836E-06
153	120.573	2.34281E-06	2.68249E-06	109.061	1.98388E-06	1.34283E-06	11.5111	3.58935E-07	1.33966E-06
