Timestep	J_x	J_y	J_z	Jconv_x	Jconv_y	Jconv_z	Jcond_x	Jcond_y	Jcond_z
90	84.80630943	2.23354E-05	-2.42989E-06	110.744951	2.53872E-05	-2.39837E-06	-25.93864159	-3.05185E-06	-3.15102E-08
91	89.01658833	1.84189E-05	8.17151E-08	116.0984282	2.1315E-05	-2.99106E-06	-27.08183984	-2.8961E-06	3.07277E-06
92	93.205643	-0.000111328	1.77157E-05	121.2604837	-0.000109026	2.8485E-05	-28.05484075	-2.30244E-06	-1.07693E-05
93	97.37209922	5.68393E-05	4.85148E-06	126.2133883	5.87519E-05	1.1887E-05	-28.84128912	-1.91259E-06	-7.03554E-06
94	101.515705	2.74428E-05	-1.07012E-05	130.9433082	3.1528E-05	-3.79545E-06	-29.42760314	-4.08524E-06	-6.90577E-06
95	105.6329997	-7.72406E-06	1.44598E-06	135.4357421	-6.09279E-06	-5.93899E-08	-29.80274242	-1.63127E-06	1.50537E-06
96	109.7208523	-7.39923E-06	4.35384E-05	139.6805264	-2.74655E-06	4.85037E-05	-29.95967411	-4.65268E-06	-4.96539E-06
97	113.7737055	5.11984E-05	1.75685E-05	143.6682884	5.20225E-05	1.67967E-05	-29.89458291	-8.24091E-07	7.71759E-07
98	117.7842773	-2.87491E-06	-1.33338E-05	147.3917343	4.44899E-06	-1.20943E-05	-29.60745702	-7.3239E-06	-1.23942E-06
99	121.742205	3.86058E-05	2.12275E-05	150.8443973	3.86409E-05	2.7292E-05	-29.10219223	-3.50948E-08	-6.06448E-06
100	125.6383559	-7.18971E-06	7.35901E-06	154.02495	-7.14333E-06	1.17013E-05	-28.38659401	-4.6384E-08	-4.34232E-06
101	129.4587371	-5.92369E-06	-1.84296E-05	156.9307426	-5.45249E-06	-1.10469E-05	-27.47200552	-4.712E-07	-7.38267E-06
102	133.1894797	7.04968E-05	0.000137826	159.5627302	7.44661E-05	0.000139301	-26.37325054	-3.9693E-06	-1.47539E-06
103	136.8150962	-1.17328E-05	-4.92013E-06	161.923686	-9.79775E-06	-6.19565E-06	-25.10858984	-1.93503E-06	1.27552E-06
104	140.3192025	-1.32881E-05	-3.9415E-05	164.0179034	-4.51874E-06	-4.37219E-05	-23.69870086	-8.76941E-06	4.30686E-06
105	143.6835993	-1.08306E-05	4.23064E-06	165.8502952	-1.04361E-05	9.76078E-06	-22.16669582	-3.94505E-07	-5.53013E-06
106	146.8908442	-6.19186E-06	-9.13487E-06	167.4285898	-1.36045E-06	-1.31439E-05	-20.53774562	-4.83141E-06	4.00904E-06
107	149.9224652	-3.47007E-05	-8.56396E-06	168.7599061	-2.84109E-05	7.47035E-06	-18.83744092	-6.28977E-06	-1.60343E-05
108	152.7619621	-2.02749E-05	-4.67175E-06	169.8548853	-1.88455E-05	-6.7701E-06	-17.09292313	-1.42941E-06	2.09834E-06
